x,y,rho,V,Ex,Ey
0.0078125,0.4453125,3.71297878116e-11,5.94989050456e-05,-0.00762112239847,-8.22498969659e-05
0.0078125,0.453125,4.35152286039e-11,6.01003686721e-05,-0.00769834634668,-7.14881873711e-05
0.0078125,0.4609375,4.97688010829e-11,6.06159079733e-05,-0.00776454190333,-6.02833476181e-05
0.0078125,0.46875,5.55482262387e-11,6.10422959786e-05,-0.00781929299021,-4.86985595213e-05
0.0078125,0.4765625,6.05034751225e-11,6.13768229658e-05,-0.00786225016628,-3.68026274778e-05
0.0078125,0.484375,6.4311338918e-11,6.1617337033e-05,-0.00789313589018,-2.46690503814e-05
0.0078125,0.4921875,6.67101458754e-11,6.1762276878e-05,-0.00791174877348,-1.23749668231e-05
0.0078125,0.5,6.752946929e-11,6.18106958896e-05,-0.00791796670708,-8.67361737988e-19
0.0078125,0.5078125,6.67101458754e-11,6.1762276878e-05,-0.00791174877348,1.23749668231e-05
0.0078125,0.515625,6.4311338918e-11,6.1617337033e-05,-0.00789313589018,2.46690503814e-05
0.0078125,0.5234375,6.05034751225e-11,6.13768229658e-05,-0.00786225016628,3.68026274778e-05
0.0078125,0.53125,5.55482262387e-11,6.10422959786e-05,-0.00781929299021,4.86985595213e-05
0.0078125,0.5390625,4.97688010829e-11,6.06159079733e-05,-0.00776454190333,6.02833476181e-05
0.0078125,0.546875,4.35152286039e-11,6.01003686721e-05,-0.00769834634668,7.14881873711e-05
0.0078125,0.5546875,3.71297878116e-11,5.94989050456e-05,-0.00762112239847,8.22498969659e-05
0.0078125,0.5625,3.09172439437e-11,5.8815214032e-05,-0.00753334664371,9.25116974805e-05
0.0078125,0.5703125,2.51232711341e-11,5.80534097725e-05,-0.00743554933605,0.000102223830497
0.0078125,0.578125,1.99227234e-11,5.72179666805e-05,-0.00732830702369,0.000111344004435
0.0078125,0.5859375,1.54176553405e-11,5.63136597032e-05,-0.00721223481632,0.000119837667478
0.0078125,0.59375,1.16435407557e-11,5.53455031262e-05,-0.00708797846914,0.000127678110903
0.0078125,0.6015625,8.58121750196e-12,5.43186892204e-05,-0.00695620645227,0.000134846412056
0.0078125,0.609375,6.17177179562e-12,5.32385279378e-05,-0.00681760216256,0.000141331230711
0.0078125,0.6171875,4.33179520646e-12,5.21103887405e-05,-0.0066728564176,0.000147128476106
0.0078125,0.625,2.96703780982e-12,5.09396454986e-05,-0.00652266035325,0.000152240864398
0.0078125,0.6328125,1.98324036188e-12,4.97316252343e-05,-0.00636769882388,0.000156677387748
0.0078125,0.640625,1.29367364726e-12,4.84915613151e-05,-0.00620864438332,0.000160452716649
0.0078125,0.6484375,8.23514438382e-13,4.72245515366e-05,-0.00604615190173,0.000163586556699
0.0078125,0.65625,5.11581477323e-13,4.59355213667e-05,-0.005880853853,0.00016610297983
