step,id,x,y,vx,vy
1770,1,0.400594,0.38957,-0.000519397,-0.321658
1800,0,0.500045,0.500831,-0.00381061,-0.00048012
1800,1,0.400685,0.384857,0.0125188,-0.306762
1830,0,0.499987,0.500822,-0.00387084,-0.000694576
1830,1,0.400966,0.380367,0.024961,-0.291921
1860,0,0.499929,0.50081,-0.0039179,-0.000906613
1860,1,0.401431,0.376099,0.0368657,-0.277132
1890,0,0.49987,0.500795,-0.00395195,-0.00111535
1890,1,0.40207,0.372053,0.0482677,-0.262378
1920,0,0.49981,0.500777,-0.00397328,-0.00132034
1920,1,0.402876,0.368228,0.0592126,-0.247656
1950,0,0.49975,0.500755,-0.00398205,-0.00152117
1950,1,0.403844,0.364623,0.0697275,-0.232954
1980,0,0.499691,0.500731,-0.00397856,-0.00171745
1980,1,0.404966,0.361239,0.0798529,-0.218265
2010,0,0.499631,0.500704,-0.003963,-0.0019088
2010,1,0.406238,0.358075,0.0896066,-0.203573
2040,0,0.499572,0.500674,-0.00393567,-0.00209484
2040,1,0.407653,0.355132,0.0990177,-0.188867
2070,0,0.499513,0.500641,-0.00389676,-0.00227521
2070,1,0.409207,0.352409,0.108098,-0.174137
2100,0,0.499455,0.500606,-0.00384655,-0.00244957
2100,1,0.410894,0.349908,0.116867,-0.159371
2130,0,0.499398,0.500568,-0.00378536,-0.00261759
2130,1,0.412711,0.347628,0.125353,-0.144559
2160,0,0.499342,0.500527,-0.00371347,-0.00277894
2160,1,0.414653,0.345571,0.13357,-0.129686
2190,0,0.499286,0.500484,-0.00363111,-0.00293331
2190,1,0.416717,0.343738,0.141519,-0.114741
2220,0,0.499233,0.500439,-0.0035386,-0.00308041
2220,1,0.418898,0.34213,0.149215,-0.0997087
2250,0,0.49918,0.500392,-0.00343629,-0.00321995
2250,1,0.421192,0.340747,0.156678,-0.0845752
2280,0,0.49913,0.500343,-0.00332449,-0.00335167
2280,1,0.423597,0.339593,0.163913,-0.0693267
2310,0,0.499081,0.500291,-0.00320346,-0.0034753
2310,1,0.426108,0.338668,0.170919,-0.0539513
2340,0,0.499034,0.500238,-0.00307355,-0.00359059
2340,1,0.428723,0.337975,0.177708,-0.0384323
2370,0,0.498988,0.500184,-0.00293509,-0.00369732
2370,1,0.431439,0.337516,0.184288,-0.0227526
2400,0,0.498946,0.500128,-0.00278837,-0.00379527
2400,1,0.434251,0.337293,0.190655,-0.00689771
2430,0,0.498905,0.50007,-0.00263377,-0.00388426
2430,1,0.437157,0.33731,0.196816,0.00915382
2460,0,0.498867,0.500011,-0.00247162,-0.0039641
2460,1,0.440154,0.337569,0.202773,0.0254211
2490,0,0.498831,0.499951,-0.00230293,-0.00403466
2490,1,0.443239,0.338074,0.20852,0.0419224
2520,0,0.498797,0.49989,-0.00212952,-0.00409602
2520,1,0.446409,0.338828,0.214065,0.0586858
2550,0,0.498767,0.499828,-0.00195183,-0.00414838
2550,1,0.44966,0.339836,0.219396,0.0757301
2580,0,0.498739,0.499766,-0.00177033,-0.00419198
2580,1,0.45299,0.341102,0.224511,0.0930856
2610,0,0.498714,0.499703,-0.00158544,-0.00422706
2610,1,0.456394,0.34263,0.229396,0.110777
2640,0,0.498691,0.499639,-0.00139752,-0.00425388
2640,1,0.459871,0.344427,0.234039,0.128832
2670,0,0.498672,0.499575,-0.00120701,-0.00427283
2670,1,0.463414,0.346497,0.238439,0.147297
2700,0,0.498655,0.499511,-0.00101419,-0.00428423
2700,1,0.467022,0.348848,0.242571,0.166202
2730,0,0.498641,0.499446,-0.000819385,-0.00428848
2730,1,0.47069,0.351486,0.246414,0.185594
2760,0,0.498631,0.499382,-0.000622854,-0.00428594
2760,1,0.474413,0.354418,0.249937,0.205514
2790,0,0.498623,0.499318,-0.000424879,-0.00427716
2790,1,0.478187,0.357654,0.253119,0.226032
