i,j,x,y,u
0,0,0,0,1
0,1,0,0.0078125,1
0,2,0,0.015625,1
0,3,0,0.0234375,1
0,4,0,0.03125,1
0,5,0,0.0390625,1
0,6,0,0.046875,1
0,7,0,0.0546875,1
0,8,0,0.0625,1
0,9,0,0.0703125,1
0,10,0,0.078125,1
0,11,0,0.0859375,1
0,12,0,0.09375,1
0,13,0,0.101562,1
0,14,0,0.109375,1
0,15,0,0.117188,1
0,16,0,0.125,1
0,17,0,0.132812,1
0,18,0,0.140625,1
0,19,0,0.148438,1
0,20,0,0.15625,1
0,21,0,0.164062,1
0,22,0,0.171875,1
0,23,0,0.179688,1
0,24,0,0.1875,1
0,25,0,0.195312,1
0,26,0,0.203125,1
0,27,0,0.210938,1
0,28,0,0.21875,1
0,29,0,0.226562,1
0,30,0,0.234375,1
0,31,0,0.242188,1
0,32,0,0.25,1
0,33,0,0.257812,1
0,34,0,0.265625,1
0,35,0,0.273438,1
0,36,0,0.28125,1
0,37,0,0.289062,1
0,38,0,0.296875,1
0,39,0,0.304688,1
0,40,0,0.3125,1
0,41,0,0.320312,1
0,42,0,0.328125,1
0,43,0,0.335938,1
0,44,0,0.34375,1
0,45,0,0.351562,1
0,46,0,0.359375,1
0,47,0,0.367188,1
0,48,0,0.375,1
0,49,0,0.382812,1
0,50,0,0.390625,1
0,51,0,0.398438,1
0,52,0,0.40625,1
0,53,0,0.414062,1
0,54,0,0.421875,1
0,55,0,0.429688,1
0,56,0,0.4375,1
0,57,0,0.445312,1
0,58,0,0.453125,1
0,59,0,0.460938,1
0,60,0,0.46875,1
0,61,0,0.476562,1
0,62,0,0.484375,1
0,63,0,0.492188,1
0,64,0,0.5,1
0,65,0,0.507812,1
0,66,0,0.515625,1
0,67,0,0.523438,1
0,68,0,0.53125,1
0,69,0,0.539062,1
0,70,0,0.546875,1
0,71,0,0.554688,1
0,72,0,0.5625,1
0,73,0,0.570312,1
0,74,0,0.578125,1
0,75,0,0.585938,1
0,76,0,0.59375,1
0,77,0,0.601562,1
0,78,0,0.609375,1
0,79,0,0.617188,1
0,80,0,0.625,1
0,81,0,0.632812,1
0,82,0,0.640625,1
0,83,0,0.648438,1
0,84,0,0.65625,1
0,85,0,0.664062,1
0,86,0,0.671875,1
0,87,0,0.679688,1
0,88,0,0.6875,1
0,89,0,0.695312,1
0,90,0,0.703125,1
0,91,0,0.710938,1
0,92,0,0.71875,1
0,93,0,0.726562,1
0,94,0,0.734375,1
0,95,0,0.742188,1
0,96,0,0.75,1
0,97,0,0.757812,1
0,98,0,0.765625,1
0,99,0,0.773438,1
0,100,0,0.78125,1
0,101,0,0.789062,1
0,102,0,0.796875,1
0,103,0,0.804688,1
0,104,0,0.8125,1
0,105,0,0.820312,1
0,106,0,0.828125,1
0,107,0,0.835938,1
0,108,0,0.84375,1
0,109,0,0.851562,1
0,110,0,0.859375,1
0,111,0,0.867188,1
0,112,0,0.875,1
0,113,0,0.882812,1
0,114,0,0.890625,1
0,115,0,0.898438,1
0,116,0,0.90625,1
0,117,0,0.914062,1
0,118,0,0.921875,1
0,119,0,0.929688,1
0,120,0,0.9375,1
0,121,0,0.945312,1
0,122,0,0.953125,1
0,123,0,0.960938,1
0,124,0,0.96875,1
0,125,0,0.976562,1
0,126,0,0.984375,1
0,127,0,0.992188,1
0,128,0,1,1
1,0,0.0078125,0,0.992188
1,1,0.0078125,0.0078125,0.992188
1,2,0.0078125,0.015625,0.992188
1,3,0.0078125,0.0234375,0.992188
1,4,0.0078125,0.03125,0.992188
1,5,0.0078125,0.0390625,0.992187
1,6,0.0078125,0.046875,0.992187
1,7,0.0078125,0.0546875,0.992188
1,8,0.0078125,0.0625,0.992188
1,9,0.0078125,0.0703125,0.992188
1,10,0.0078125,0.078125,0.992188
1,11,0.0078125,0.0859375,0.992188
1,12,0.0078125,0.09375,0.992188
1,13,0.0078125,0.101562,0.992188
1,14,0.0078125,0.109375,0.992188
1,15,0.0078125,0.117188,0.992188
1,16,0.0078125,0.125,0.992188
1,17,0.0078125,0.132812,0.992188
1,18,0.0078125,0.140625,0.992188
1,19,0.0078125,0.148438,0.992188
1,20,0.0078125,0.15625,0.992188
1,21,0.0078125,0.164062,0.992188
1,22,0.0078125,0.171875,0.992188
1,23,0.0078125,0.179688,0.992188
1,24,0.0078125,0.1875,0.992188
1,25,0.0078125,0.195312,0.992188
1,26,0.0078125,0.203125,0.992188
1,27,0.0078125,0.210938,0.992188
1,28,0.0078125,0.21875,0.992188
1,29,0.0078125,0.226562,0.992188
1,30,0.0078125,0.234375,0.992188
1,31,0.0078125,0.242188,0.992188
