i,j,x,y,u
1,53,0.0078125,0.414062,0.000489757
1,54,0.0078125,0.421875,0.000472244
1,55,0.0078125,0.429688,0.000454529
1,56,0.0078125,0.4375,0.000436641
1,57,0.0078125,0.445312,0.000418607
1,58,0.0078125,0.453125,0.000400445
1,59,0.0078125,0.460938,0.00038217
1,60,0.0078125,0.46875,0.000363793
1,61,0.0078125,0.476562,0.000345321
1,62,0.0078125,0.484375,0.000326759
1,63,0.0078125,0.492188,0.000308108
1,64,0.0078125,0.5,0.00028937
1,65,0.0078125,0.507812,0.000270544
1,66,0.0078125,0.515625,0.00025163
1,67,0.0078125,0.523438,0.000232629
1,68,0.0078125,0.53125,0.000213542
1,69,0.0078125,0.539062,0.000194373
1,70,0.0078125,0.546875,0.000175126
1,71,0.0078125,0.554688,0.000155809
1,72,0.0078125,0.5625,0.000136435
1,73,0.0078125,0.570312,0.000117018
1,74,0.0078125,0.578125,9.75789e-05
1,75,0.0078125,0.585938,7.81428e-05
1,76,0.0078125,0.59375,5.87391e-05
1,77,0.0078125,0.601562,3.94048e-05
1,78,0.0078125,0.609375,2.01808e-05
1,79,0.0078125,0.617188,1.11637e-06
1,80,0.0078125,0.625,-1.77351e-05
1,81,0.0078125,0.632812,-3.63122e-05
1,82,0.0078125,0.640625,-5.45493e-05
1,83,0.0078125,0.648438,-7.23741e-05
1,84,0.0078125,0.65625,-8.97105e-05
1,85,0.0078125,0.664062,-0.000106478
1,86,0.0078125,0.671875,-0.000122593
1,87,0.0078125,0.679688,-0.000137972
1,88,0.0078125,0.6875,-0.000152531
1,89,0.0078125,0.695312,-0.000166186
1,90,0.0078125,0.703125,-0.000178858
1,91,0.0078125,0.710938,-0.000190474
1,92,0.0078125,0.71875,-0.000200967
1,93,0.0078125,0.726562,-0.00021028
1,94,0.0078125,0.734375,-0.000218365
1,95,0.0078125,0.742188,-0.000225188
1,96,0.0078125,0.75,-0.000230724
1,97,0.0078125,0.757812,-0.000234966
1,98,0.0078125,0.765625,-0.000237917
1,99,0.0078125,0.773438,-0.000239595
1,100,0.0078125,0.78125,-0.00024003
1,101,0.0078125,0.789062,-0.000239265
1,102,0.0078125,0.796875,-0.000237352
1,103,0.0078125,0.804688,-0.000234352
1,104,0.0078125,0.8125,-0.000230335
1,105,0.0078125,0.820312,-0.000225375
1,106,0.0078125,0.828125,-0.00021955
1,107,0.0078125,0.835938,-0.000212941
1,108,0.0078125,0.84375,-0.000205626
1,109,0.0078125,0.851562,-0.000197686
1,110,0.0078125,0.859375,-0.000189196
1,111,0.0078125,0.867188,-0.00018023
1,112,0.0078125,0.875,-0.000170856
1,113,0.0078125,0.882812,-0.000161136
1,114,0.0078125,0.890625,-0.00015113
1,115,0.0078125,0.898438,-0.000140888
1,116,0.0078125,0.90625,-0.000130456
1,117,0.0078125,0.914062,-0.000119873
1,118,0.0078125,0.921875,-0.000109175
1,119,0.0078125,0.929688,-9.83895e-05
1,120,0.0078125,0.9375,-8.75411e-05
1,121,0.0078125,0.945312,-7.66478e-05
1,122,0.0078125,0.953125,-6.57254e-05
1,123,0.0078125,0.960938,-5.47843e-05
1,124,0.0078125,0.96875,-4.3833e-05
1,125,0.0078125,0.976562,-3.28764e-05
1,126,0.0078125,0.984375,-2.19179e-05
1,127,0.0078125,0.992188,-1.09589e-05
1,128,0.0078125,1,0
2,0,0.015625,0,0
2,1,0.015625,0.0078125,5.32108e-05
2,2,0.015625,0.015625,0.000106422
2,3,0.015625,0.0234375,0.000159634
2,4,0.015625,0.03125,0.000212843
2,5,0.015625,0.0390625,0.000266041
2,6,0.015625,0.046875,0.000319213
2,7,0.015625,0.0546875,0.000372341
2,8,0.015625,0.0625,0.000425392
2,9,0.015625,0.0703125,0.00047833
2,10,0.015625,0.078125,0.0005311
2,11,0.015625,0.0859375,0.000583642
2,12,0.015625,0.09375,0.000635874
2,13,0.015625,0.101562,0.000687708
2,14,0.015625,0.109375,0.000739032
2,15,0.015625,0.117188,0.000789723
2,16,0.015625,0.125,0.00083964
2,17,0.015625,0.132812,0.000888627
2,18,0.015625,0.140625,0.000936509
2,19,0.015625,0.148438,0.0009831
2,20,0.015625,0.15625,0.0010282
2,21,0.015625,0.164062,0.0010716
2,22,0.015625,0.171875,0.00111308
2,23,0.015625,0.179688,0.00115241
2,24,0.015625,0.1875,0.00118939
2,25,0.015625,0.195312,0.00122378
2,26,0.015625,0.203125,0.00125538
2,27,0.015625,0.210938,0.001284
2,28,0.015625,0.21875,0.00130945
2,29,0.015625,0.226562,0.00133159
2,30,0.015625,0.234375,0.0013503
2,31,0.015625,0.242188,0.00136548
2,32,0.015625,0.25,0.00137706
2,33,0.015625,0.257812,0.00138504
2,34,0.015625,0.265625,0.00138942
2,35,0.015625,0.273438,0.00139024
2,36,0.015625,0.28125,0.0013876
2,37,0.015625,0.289062,0.00138161
2,38,0.015625,0.296875,0.0013724
2,39,0.015625,0.304688,0.00136015
2,40,0.015625,0.3125,0.00134504
2,41,0.015625,0.320312,0.00132726
2,42,0.015625,0.328125,0.00130704
2,43,0.015625,0.335938,0.00128458
2,44,0.015625,0.34375,0.00126009
2,45,0.015625,0.351562,0.00123378
2,46,0.015625,0.359375,0.00120587
2,47,0.015625,0.367188,0.00117653
2,48,0.015625,0.375,0.00114595
2,49,0.015625,0.382812,0.0011143
2,50,0.015625,0.390625,0.00108173
2,51,0.015625,0.398438,0.00104837
2,52,0.015625,0.40625,0.00101434
2,53,0.015625,0.414062,0.000979756
2,54,0.015625,0.421875,0.000944692
2,55,0.015625,0.429688,0.000909231
2,56,0.015625,0.4375,0.00087343
2,57,0.015625,0.445312,0.000837342
2,58,0.015625,0.453125,0.000801003
2,59,0.015625,0.460938,0.000764443
2,60,0.015625,0.46875,0.000727682
2,61,0.015625,0.476562,0.000690734
2,62,0.015625,0.484375,0.000653606
2,63,0.015625,0.492188,0.000616303
2,64,0.015625,0.5,0.000578827
2,65,0.015625,0.507812,0.000541175
2,66,0.015625,0.515625,0.000503347
2,67,0.015625,0.523438,0.000465344
2,68,0.015625,0.53125,0.000427167
2,69,0.015625,0.539062,0.000388822
2,70,0.015625,0.546875,0.00035032
2,71,0.015625,0.554688,0.000311675
2,72,0.015625,0.5625,0.000272911
2,73,0.015625,0.570312,0.000234057
2,74,0.015625,0.578125,0.000195155
2,75,0.015625,0.585938,0.000156251
2,76,0.015625,0.59375,0.000117409
2,77,0.015625,0.601562,7.8697e-05
2,78,0.015625,0.609375,4.0202e-05
2,79,0.015625,0.617188,2.01779e-06
2,80,0.015625,0.625,-3.57446e-05
2,81,0.015625,0.632812,-7.29659e-05
2,82,0.015625,0.640625,-0.000109511
2,83,0.015625,0.648438,-0.000145237
2,84,0.015625,0.65625,-0.00017999
2,85,0.015625,0.664062,-0.000213608
2,86,0.015625,0.671875,-0.000245923
2,87,0.015625,0.679688,-0.000276765
2,88,0.015625,0.6875,-0.000305964
2,89,0.015625,0.695312,-0.000333353
2,90,0.015625,0.703125,-0.000358771
2,91,0.015625,0.710938,-0.000382069
2,92,0.015625,0.71875,-0.000403113
2,93,0.015625,0.726562,-0.000421785
2,94,0.015625,0.734375,-0.000437992
2,95,0.015625,0.742188,-0.000451659
2,96,0.015625,0.75,-0.000462742
2,97,0.015625,0.757812,-0.000471221
2,98,0.015625,0.765625,-0.000477107
2,99,0.015625,0.773438,-0.000480432
2,100,0.015625,0.78125,-0.000481261
2,101,0.015625,0.789062,-0.000479677
2,102,0.015625,0.796875,-0.00047579
2,103,0.015625,0.804688,-0.000469721
2,104,0.015625,0.8125,-0.000461613
2,105,0.015625,0.820312,-0.000451615
2,106,0.015625,0.828125,-0.000439886
2,107,0.015625,0.835938,-0.000426586
2,108,0.015625,0.84375,-0.000411878
2,109,0.015625,0.851562,-0.000395921
2,110,0.015625,0.859375,-0.000378869
2,111,0.015625,0.867188,-0.000360869
2,112,0.015625,0.875,-0.000342057
2,113,0.015625,0.882812,-0.000322562
2,114,0.015625,0.890625,-0.000302496
2,115,0.015625,0.898438,-0.000281967
2,116,0.015625,0.90625,-0.000261062
2,117,0.015625,0.914062,-0.000239863
2,118,0.015625,0.921875,-0.000218438
